STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19821101 00:15,-9999, , , ,25399.75,[, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19821106 11:15,-9999, , , ,25399.75,], ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19821109 07:30,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19821110 17:15,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19821110 18:45,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19821110 22:00,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19821117 23:15,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19821118 00:45,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19821126 20:30,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19821201 00:15,-9999, , , ,0,g, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19821201 01:00,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19821210 10:45,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19821210 11:30,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19821223 13:00,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19821230 06:00,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19821230 11:30,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830101 00:15,-9999, , , ,0,g, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830117 20:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830117 21:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830120 10:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830120 11:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830121 00:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830121 01:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830121 07:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830121 08:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830121 10:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830121 11:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830130 05:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830130 06:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830131 01:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830131 02:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830131 09:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830131 10:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830131 11:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830131 12:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830131 16:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830131 17:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830201 00:15,-9999, , , ,0,g, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830203 04:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830203 05:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830203 23:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830204 01:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830204 02:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830204 10:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830204 11:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830204 22:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830204 23:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830211 16:15,-9999, , , ,25399.75,[, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830301 00:15,-9999, , , ,25399.75,[, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830313 10:15,-9999, , , ,25399.75,], ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830318 12:00,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830318 13:15,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830319 10:00,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830319 11:00,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830319 23:00,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830327 23:30,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830401 00:15,-9999, , , ,0,g, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830414 11:15,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830501 00:15,-9999, , , ,0,g, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830519 19:30,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830524 10:30,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830528 20:15,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830528 23:15,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830601 00:15,-9999, , , ,0,g, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830624 14:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830624 15:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830624 19:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830624 20:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830701 00:15,-9999, , , ,0,g, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830711 18:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830711 19:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830712 17:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830712 18:00,-9999, , , ,5.08,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830725 20:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830725 21:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830725 22:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830725 23:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830726 17:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830726 18:00,-9999, , , ,5.08,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830726 18:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830726 19:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830726 19:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830726 20:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830731 02:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830731 03:00,-9999, , , ,7.62,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830731 03:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830731 04:00,-9999, , , ,12.7,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830731 04:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830731 05:00,-9999, , , ,5.08,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830731 06:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830731 07:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830801 00:15,-9999, , , ,0,g, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830813 22:15,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830818 15:45,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830822 18:30,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830823 10:30,-9999, , , ,2.54, , ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830901 00:15,-9999, , , ,0,g, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830904 13:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830904 14:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830908 02:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830908 03:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830911 18:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830911 19:00,-9999, , , ,5.08,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830914 19:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830914 20:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830914 21:15,-9999, , , ,25399.75,a, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830914 22:00,-9999, , , ,2.54,A, ,HT
COOP:292100,CORRALES NM US,1556.6,35.23333,-106.63333,19830927 00:15,-9999, , , ,25399.75,a, ,HT
