STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840101 00:15,-9999, , , ,0,g, ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840109 00:30,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840109 03:00,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840109 08:30,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840109 14:30,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840109 16:00,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840109 17:15,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840109 19:00,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840109 20:30,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840122 18:15,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840122 21:15,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840122 22:45,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840123 00:15,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840201 00:15,-9999, , , ,0,g, ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840208 19:00,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840208 19:30,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840208 19:45,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840208 23:00,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840208 23:15,-9999, , , ,5.08, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840211 19:45,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840211 20:00,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840211 20:30,-9999, , , ,5.08, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840211 20:45,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840212 14:00,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840218 02:45,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840218 03:00,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840218 03:15,-9999, , , ,2.54, , ,HT
COOP:413691,GRAPEVINE DAM TX US,178.3,32.96667,-97.05,19840226 06:15,-9999, , , ,2.54, , ,HT
