STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840101 00:15,-9999, , , ,0,g, ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840101 08:15,-9999, , , ,25399.75,a, ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840101 09:00,-9999, , , ,0.76,A, ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840102 15:15,-9999, , , ,25399.75,a, ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840109 12:00,-9999, , , ,27.18,A, ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840122 13:15,-9999, , , ,0.25, , ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840122 14:00,-9999, , , ,0.25, , ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840122 14:45,-9999, , , ,0.25, , ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840122 15:30,-9999, , , ,0.25, , ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840122 16:15,-9999, , , ,0.25, , ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840122 17:00,-9999, , , ,0.25, , ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840122 17:45,-9999, , , ,0.25, , ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840122 18:30,-9999, , , ,0.25, , ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840122 19:15,-9999, , , ,0.25, , ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840122 20:00,-9999, , , ,0.25, , ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840122 20:45,-9999, , , ,0.25, , ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840122 23:00,-9999, , , ,0.25, , ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840123 01:45,-9999, , , ,0.25, , ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840201 00:15,-9999, , , ,0,g, ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840218 02:00,-9999, , , ,25399.75,a, ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840218 08:00,-9999, , , ,1.27,A, ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840301 00:15,-9999, , , ,0,g, ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840303 12:00,-9999, , , ,25399.75,a, ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840306 11:00,-9999, , , ,12.7,A, ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840306 12:00,-9999, , , ,25399.75,a, ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840312 10:00,-9999, , , ,6.35,A, ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840319 16:00,-9999, , , ,25399.75,a, ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840323 17:00,-9999, , , ,5.08,A, ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840401 00:15,-9999, , , ,0,g, ,HI
COOP:418531,SPICEWOOD TX US,264.9,30.45,-98.16667,19840402 16:30,-9999, , , ,25399.75,a, ,HI
