STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840101 00:15,-9999, , , ,0,g, ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 14:15,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 14:45,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 15:15,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 15:45,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 16:15,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 16:45,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 17:15,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 17:45,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 18:15,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 18:30,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 18:45,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 19:00,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 19:15,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 19:30,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 19:45,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 20:00,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 20:15,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 20:30,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 20:45,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 21:00,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 21:15,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 21:30,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 21:45,-9999, , , ,0.51, , ,HI
COOP:180470,BALTIMORE CUSTOMS HOUSE MD US,4.3,39.28333,-76.61667,19840110 22:00,-9999, , , ,0.51, , ,HI
