STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19840901 00:15,-9999, , , ,0,g, ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19840903 11:30,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19840904 03:30,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19840904 03:45,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19840904 04:00,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19840904 04:30,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19840904 04:45,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19840904 05:00,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19840904 06:45,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19840912 04:30,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19840915 05:45,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19840915 06:45,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19840915 09:15,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19840915 15:15,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841001 00:15,-9999, , , ,0,g, ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841001 18:45,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841001 20:45,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841001 23:00,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841002 00:30,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841002 01:45,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841002 03:00,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841002 03:45,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841002 04:30,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841002 05:30,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841002 06:00,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841002 07:15,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841002 07:45,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841002 08:15,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841002 08:45,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841002 10:00,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841002 10:15,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841002 10:30,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841002 10:45,-9999, , , ,5.08, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841002 11:00,-9999, , , ,5.08, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841002 11:15,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841002 11:45,-9999, , , ,5.08, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841002 12:15,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841002 12:30,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841022 23:15,-9999, , , ,5.08, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841022 23:45,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841023 00:15,-9999, , , ,5.08, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841023 00:45,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841023 03:30,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841026 05:30,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841026 11:30,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841027 09:30,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841029 04:30,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841029 05:00,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841029 05:45,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841101 00:15,-9999, , , ,0,g, ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841105 08:15,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841105 08:30,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841105 08:45,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841105 09:45,-9999, , , ,2.54, , ,HT
COOP:194502,MARBLEHEAD MA US,12.2,42.5,-70.86667,19841105 10:00,-9999, , , ,5.08, , ,HT
