STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840101 00:15,-9999, , , ,0,g, ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840101 10:00,-9999, , , ,0.51, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840101 11:00,-9999, , , ,1.02, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840101 12:00,-9999, , , ,1.02, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840101 13:00,-9999, , , ,0.51, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840101 17:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840108 22:00,-9999, , , ,0.51, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840108 23:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840109 01:00,-9999, , , ,0.76, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840109 03:00,-9999, , , ,0.76, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840109 04:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840109 10:00,-9999, , , ,0.51, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840109 11:00,-9999, , , ,0.51, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840109 13:00,-9999, , , ,0.51, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840113 06:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840113 07:00,-9999, , , ,0.76, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840113 09:00,-9999, , , ,0.51, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840113 10:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840113 12:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840113 16:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840113 23:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840114 01:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840114 02:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840115 02:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840115 03:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840123 09:00,-9999, , , ,0.51, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840123 10:00,-9999, , , ,1.27, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840123 11:00,-9999, , , ,0.51, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840123 13:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840123 14:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840123 15:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840128 10:00,-9999, , , ,1.02, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840128 12:00,-9999, , , ,1.02, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840128 15:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840128 16:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840128 18:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840129 22:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840129 23:00,-9999, , , ,0.76, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840130 01:00,-9999, , , ,1.78, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840130 02:00,-9999, , , ,1.52, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840130 03:00,-9999, , , ,1.52, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840130 04:00,-9999, , , ,1.27, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840130 05:00,-9999, , , ,1.52, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840130 06:00,-9999, , , ,1.52, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840130 07:00,-9999, , , ,0.76, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840130 09:00,-9999, , , ,0.51, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840201 00:15,-9999, , , ,0,g, ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840204 15:45,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840204 17:30,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840204 19:15,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840204 21:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840204 22:45,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840205 00:30,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840205 03:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840205 06:15,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840205 07:30,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840205 08:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840210 14:30,-9999, , , ,0.51, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840210 15:00,-9999, , , ,0.51, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840210 15:30,-9999, , , ,0.51, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840210 16:00,-9999, , , ,0.51, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840212 17:00,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840212 18:45,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840212 20:30,-9999, , , ,0.25, , ,HI
COOP:111572,CHICAGO UNIVERSITY IL US,181.1,41.78333,-87.6,19840212 22:15,-9999, , , ,0.25, , ,HI
