STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710502 06:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710502 07:00,-9999, , , ,2.54,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710502 07:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710502 08:00,-9999, , , ,2.54,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710505 02:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710505 03:00,-9999, , , ,2.54,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710505 08:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710505 09:00,-9999, , , ,2.54,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710505 11:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710505 12:00,-9999, , , ,5.08,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710505 17:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710505 18:00,-9999, , , ,7.62,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710506 09:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710506 10:00,-9999, , , ,2.54,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710507 14:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710507 15:00,-9999, , , ,2.54,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710507 15:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710507 16:00,-9999, , , ,2.54,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710507 16:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710507 17:00,-9999, , , ,2.54,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710507 17:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710507 18:00,-9999, , , ,2.54,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710507 18:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710507 19:00,-9999, , , ,2.54,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710507 20:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710507 21:00,-9999, , , ,2.54,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710511 22:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710511 23:00,-9999, , , ,5.08,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710511 23:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710516 13:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710516 14:00,-9999, , , ,2.54,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710516 17:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710516 18:00,-9999, , , ,5.08,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710519 20:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710519 21:00,-9999, , , ,5.08,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710519 21:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710519 22:00,-9999, , , ,2.54,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710524 18:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710524 19:00,-9999, , , ,2.54,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710524 23:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710525 00:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710525 01:00,-9999, , , ,2.54,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710525 01:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710525 02:00,-9999, , , ,2.54,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710525 02:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710525 03:00,-9999, , , ,2.54,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710525 11:45,-9999, , , ,2.54, , ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710526 01:15,-9999, , , ,25399.75,a, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710526 02:00,-9999, , , ,2.54,A, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710601 00:15,-9999, , , ,0,g, ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710602 00:30,-9999, , , ,2.54, , ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710602 02:00,-9999, , , ,2.54, , ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710602 18:45,-9999, , , ,5.08, , ,HT
COOP:334979,MARYSVILLE OH US,305.1,40.23333,-83.36667,19710607 06:30,-9999, , , ,2.54, , ,HT
