STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:413285,FORT WORTH WSFO TX US,196.3,32.8342,-97.2981,19710505 06:15,-9999, , , ,0, , ,HT
COOP:413285,FORT WORTH WSFO TX US,196.3,32.8342,-97.2981,19710505 06:30,-9999, , , ,2.54, , ,HT
COOP:413285,FORT WORTH WSFO TX US,196.3,32.8342,-97.2981,19710505 06:45,-9999, , , ,2.54, , ,HT
COOP:413285,FORT WORTH WSFO TX US,196.3,32.8342,-97.2981,19710506 08:30,-9999, , , ,2.54, , ,HT
COOP:413285,FORT WORTH WSFO TX US,196.3,32.8342,-97.2981,19710506 16:30,-9999, , , ,2.54, , ,HT
COOP:413285,FORT WORTH WSFO TX US,196.3,32.8342,-97.2981,19710506 16:45,-9999, , , ,7.62, , ,HT
COOP:413285,FORT WORTH WSFO TX US,196.3,32.8342,-97.2981,19710506 17:00,-9999, , , ,2.54, , ,HT
COOP:413285,FORT WORTH WSFO TX US,196.3,32.8342,-97.2981,19710518 21:00,-9999, , , ,2.54, , ,HT
COOP:413285,FORT WORTH WSFO TX US,196.3,32.8342,-97.2981,19710527 02:15,-9999, , , ,10.16, , ,HT
COOP:413285,FORT WORTH WSFO TX US,196.3,32.8342,-97.2981,19710527 02:30,-9999, , , ,5.08, , ,HT
COOP:413285,FORT WORTH WSFO TX US,196.3,32.8342,-97.2981,19710527 03:00,-9999, , , ,2.54, , ,HT
COOP:413285,FORT WORTH WSFO TX US,196.3,32.8342,-97.2981,19710527 04:00,-9999, , , ,2.54, , ,HT
COOP:413285,FORT WORTH WSFO TX US,196.3,32.8342,-97.2981,19710529 04:30,-9999, , , ,5.08, , ,HT
COOP:413285,FORT WORTH WSFO TX US,196.3,32.8342,-97.2981,19710529 05:45,-9999, , , ,10.16, , ,HT
COOP:413285,FORT WORTH WSFO TX US,196.3,32.8342,-97.2981,19710529 06:00,-9999, , , ,15.24, , ,HT
COOP:413285,FORT WORTH WSFO TX US,196.3,32.8342,-97.2981,19710529 06:15,-9999, , , ,2.54, , ,HT
COOP:413285,FORT WORTH WSFO TX US,196.3,32.8342,-97.2981,19710529 06:30,-9999, , , ,2.54, , ,HT
COOP:413285,FORT WORTH WSFO TX US,196.3,32.8342,-97.2981,19710529 07:15,-9999, , , ,2.54, , ,HT
