STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:417594,RICHMOND TX US,31.1,29.58333,-95.75,19840101 00:15,-9999, , , ,0,g, ,HI
COOP:417594,RICHMOND TX US,31.1,29.58333,-95.75,19840108 19:00,-9999, , , ,0.25, , ,HI
COOP:417594,RICHMOND TX US,31.1,29.58333,-95.75,19840108 20:15,-9999, , , ,0.25, , ,HI
COOP:417594,RICHMOND TX US,31.1,29.58333,-95.75,19840108 20:30,-9999, , , ,0.51, , ,HI
COOP:417594,RICHMOND TX US,31.1,29.58333,-95.75,19840108 20:45,-9999, , , ,1.52, , ,HI
COOP:417594,RICHMOND TX US,31.1,29.58333,-95.75,19840108 21:15,-9999, , , ,0.25, , ,HI
COOP:417594,RICHMOND TX US,31.1,29.58333,-95.75,19840108 21:45,-9999, , , ,0.25, , ,HI
COOP:417594,RICHMOND TX US,31.1,29.58333,-95.75,19840108 22:00,-9999, , , ,0.51, , ,HI
COOP:417594,RICHMOND TX US,31.1,29.58333,-95.75,19840108 22:15,-9999, , , ,0.76, , ,HI
COOP:417594,RICHMOND TX US,31.1,29.58333,-95.75,19840109 01:15,-9999, , , ,0.25, , ,HI
COOP:417594,RICHMOND TX US,31.1,29.58333,-95.75,19840109 04:00,-9999, , , ,0.51, , ,HI
COOP:417594,RICHMOND TX US,31.1,29.58333,-95.75,19840109 04:15,-9999, , , ,1.52, , ,HI
COOP:417594,RICHMOND TX US,31.1,29.58333,-95.75,19840109 04:30,-9999, , , ,3.05, , ,HI
COOP:417594,RICHMOND TX US,31.1,29.58333,-95.75,19840109 04:45,-9999, , , ,9.14, , ,HI
COOP:417594,RICHMOND TX US,31.1,29.58333,-95.75,19840109 05:00,-9999, , , ,4.32, , ,HI
COOP:417594,RICHMOND TX US,31.1,29.58333,-95.75,19840109 05:15,-9999, , , ,1.02, , ,HI
COOP:417594,RICHMOND TX US,31.1,29.58333,-95.75,19840109 05:30,-9999, , , ,1.02, , ,HI
COOP:417594,RICHMOND TX US,31.1,29.58333,-95.75,19840109 05:45,-9999, , , ,1.02, , ,HI
COOP:417594,RICHMOND TX US,31.1,29.58333,-95.75,19840109 06:00,-9999, , , ,1.02, , ,HI
COOP:417594,RICHMOND TX US,31.1,29.58333,-95.75,19840109 06:15,-9999, , , ,0.76, , ,HI
COOP:417594,RICHMOND TX US,31.1,29.58333,-95.75,19840109 06:30,-9999, , , ,0.76, , ,HI
COOP:417594,RICHMOND TX US,31.1,29.58333,-95.75,19840109 06:45,-9999, , , ,0.76, , ,HI
