STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:124286,INDIANAPOLIS ZOO IN US,unknown,unknown,unknown,19910501 00:15,-9999, , , ,0,g, ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,unknown,unknown,unknown,19910502 11:45,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910503 22:00,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910503 23:30,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910505 10:30,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910505 11:30,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910505 20:45,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910511 16:15,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910511 16:30,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910512 15:30,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910516 14:45,-9999, , , ,5.08, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910516 16:45,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910516 17:00,-9999, , , ,5.08, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910517 17:45,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910518 03:15,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910518 03:45,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910521 13:45,-9999, , , ,5.08, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910522 18:30,-9999, , , ,5.08, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910522 18:45,-9999, , , ,15.24, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910522 19:00,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910522 19:45,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910522 20:30,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910523 07:30,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910523 08:00,-9999, , , ,5.08, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910523 16:15,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910523 16:30,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910523 17:15,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910525 11:30,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910526 02:45,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910526 07:00,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910529 15:00,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910529 23:00,-9999, , , ,5.08, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910601 00:15,-9999, , , ,0,g, ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910602 15:45,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910611 15:30,-9999, , , ,2.54, , ,HT
COOP:124286,INDIANAPOLIS ZOO IN US,216.4,39.76667,-86.18333,19910611 16:00,-9999, , , ,2.54, , ,HT
