STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:048230,SIGNAL HILL FC 415 CA US,31.1,33.8,-118.16667,19760610 05:15,-9999, , , ,25399.75,a, ,HT
COOP:048230,SIGNAL HILL FC 415 CA US,31.1,33.8,-118.16667,19760610 06:00,-9999, , , ,2.54,A, ,HT
COOP:048230,SIGNAL HILL FC 415 CA US,31.1,33.8,-118.16667,19760610 06:15,-9999, , , ,25399.75,a, ,HT
COOP:048230,SIGNAL HILL FC 415 CA US,31.1,33.8,-118.16667,19760610 07:00,-9999, , , ,2.54,A, ,HT
COOP:048230,SIGNAL HILL FC 415 CA US,31.1,33.8,-118.16667,19760701 00:15,-9999, , , ,0,g, ,HT
COOP:048230,SIGNAL HILL FC 415 CA US,31.1,33.8,-118.16667,19760801 00:15,-9999, , , ,0,g, ,HT
COOP:048230,SIGNAL HILL FC 415 CA US,31.1,33.8,-118.16667,19760901 00:15,-9999, , , ,0,g, ,HT
COOP:048230,SIGNAL HILL FC 415 CA US,31.1,33.8,-118.16667,19760909 23:15,-9999, , , ,25399.75,a, ,HT
COOP:048230,SIGNAL HILL FC 415 CA US,31.1,33.8,-118.16667,19760910 02:15,-9999, , , ,25399.75,a, ,HT
COOP:048230,SIGNAL HILL FC 415 CA US,31.1,33.8,-118.16667,19760910 03:00,-9999, , , ,2.54,A, ,HT
COOP:048230,SIGNAL HILL FC 415 CA US,31.1,33.8,-118.16667,19760910 03:15,-9999, , , ,25399.75,a, ,HT
COOP:048230,SIGNAL HILL FC 415 CA US,31.1,33.8,-118.16667,19760910 04:00,-9999, , , ,2.54,A, ,HT
COOP:048230,SIGNAL HILL FC 415 CA US,31.1,33.8,-118.16667,19760910 04:15,-9999, , , ,25399.75,a, ,HT
COOP:048230,SIGNAL HILL FC 415 CA US,31.1,33.8,-118.16667,19760910 05:00,-9999, , , ,2.54,A, ,HT
COOP:048230,SIGNAL HILL FC 415 CA US,31.1,33.8,-118.16667,19760910 05:15,-9999, , , ,25399.75,a, ,HT
COOP:048230,SIGNAL HILL FC 415 CA US,31.1,33.8,-118.16667,19760910 06:00,-9999, , , ,12.7,A, ,HT
COOP:048230,SIGNAL HILL FC 415 CA US,31.1,33.8,-118.16667,19760910 06:15,-9999, , , ,25399.75,a, ,HT
COOP:048230,SIGNAL HILL FC 415 CA US,31.1,33.8,-118.16667,19760910 07:00,-9999, , , ,2.54,A, ,HT
COOP:048230,SIGNAL HILL FC 415 CA US,31.1,33.8,-118.16667,19760910 07:15,-9999, , , ,25399.75,a, ,HT
COOP:048230,SIGNAL HILL FC 415 CA US,31.1,33.8,-118.16667,19760910 08:00,-9999, , , ,2.54,A, ,HT
COOP:048230,SIGNAL HILL FC 415 CA US,31.1,33.8,-118.16667,19760910 12:15,-9999, , , ,25399.75,a, ,HT
COOP:048230,SIGNAL HILL FC 415 CA US,31.1,33.8,-118.16667,19760910 13:00,-9999, , , ,2.54,A, ,HT
