STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840101 00:15,-9999, , , ,0,g, ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840109 22:00,-9999, , , ,0.25, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840109 23:00,-9999, , , ,0.51, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840110 01:00,-9999, , , ,2.03, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840110 02:00,-9999, , , ,3.05, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840110 03:00,-9999, , , ,1.78, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840110 04:00,-9999, , , ,1.02, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840110 05:00,-9999, , , ,1.02, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840110 06:00,-9999, , , ,0.76, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840110 07:00,-9999, , , ,0.25, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840110 09:00,-9999, , , ,0.25, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840117 22:00,-9999, , , ,0.25, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840117 23:00,-9999, , , ,0.76, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840118 01:00,-9999, , , ,0.25, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840118 02:00,-9999, , , ,0.76, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840118 03:00,-9999, , , ,1.52, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840123 06:00,-9999, , , ,0.25, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840123 07:00,-9999, , , ,3.56, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840123 08:00,-9999, , , ,5.59, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840123 09:00,-9999, , , ,2.54, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840123 10:00,-9999, , , ,0.51, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840123 11:00,-9999, , , ,0.76, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840123 12:00,-9999, , , ,1.52, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840123 13:00,-9999, , , ,2.29, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840123 14:00,-9999, , , ,3.05, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840123 15:00,-9999, , , ,3.3, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840123 16:00,-9999, , , ,0.51, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840123 17:00,-9999, , , ,4.57, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840123 18:00,-9999, , , ,1.52, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840123 19:00,-9999, , , ,0.51, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840123 21:00,-9999, , , ,0.25, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840123 22:00,-9999, , , ,0.25, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840123 23:00,-9999, , , ,0.25, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840124 03:00,-9999, , , ,0.25, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840124 04:00,-9999, , , ,0.25, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840201 00:15,-9999, , , ,0,g, ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840202 21:00,-9999, , , ,0.25, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840202 22:00,-9999, , , ,1.78, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840202 23:00,-9999, , , ,4.32, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840203 01:00,-9999, , , ,2.54, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840203 02:00,-9999, , , ,2.03, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840209 23:00,-9999, , , ,2.29, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840210 01:00,-9999, , , ,0.25, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840210 21:00,-9999, , , ,11.43, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840211 06:00,-9999, , , ,0.25, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840212 05:00,-9999, , , ,0.51, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840212 06:00,-9999, , , ,2.54, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840212 07:00,-9999, , , ,1.27, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840212 08:00,-9999, , , ,1.52, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840212 09:00,-9999, , , ,18.03, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840212 10:00,-9999, , , ,6.35, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840212 11:00,-9999, , , ,2.29, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840212 12:00,-9999, , , ,0.51, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840212 13:00,-9999, , , ,2.03, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840212 14:00,-9999, , , ,2.29, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840212 15:00,-9999, , , ,2.54, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840212 16:00,-9999, , , ,0.51, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840212 22:00,-9999, , , ,2.54, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840215 23:00,-9999, , , ,0.76, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840216 01:00,-9999, , , ,0.25, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840218 16:00,-9999, , , ,1.02, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840218 17:00,-9999, , , ,0.76, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840218 21:00,-9999, , , ,0.25, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840218 22:00,-9999, , , ,0.25, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840218 23:00,-9999, , , ,0.76, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840219 01:00,-9999, , , ,0.51, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840226 19:00,-9999, , , ,5.08, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840226 20:00,-9999, , , ,5.84, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840226 21:00,-9999, , , ,3.05, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840226 22:00,-9999, , , ,1.27, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840226 23:00,-9999, , , ,1.78, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840227 04:00,-9999, , , ,0.51, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840227 05:00,-9999, , , ,5.59, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840227 06:00,-9999, , , ,0.76, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840301 00:15,-9999, , , ,0,g, ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840304 12:00,-9999, , , ,5.08, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840304 13:00,-9999, , , ,1.27, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840304 15:00,-9999, , , ,6.35, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840304 16:00,-9999, , , ,2.79, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840304 17:00,-9999, , , ,5.59, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840304 18:00,-9999, , , ,0.25, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840304 19:00,-9999, , , ,11.68, , ,HI
COOP:405954,MEMPHIS INTERNATIONAL AIRPORT TN US,78.6,35.05,-90,19840304 20:00,-9999, , , ,17.78, , ,HI
