STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:213202,GOLDEN VALLEY MN US,281,44.98333,-93.38333,19710504 08:15,-9999, , , ,0, , ,HT
COOP:213202,GOLDEN VALLEY MN US,281,44.98333,-93.38333,19710504 08:45,-9999, , , ,2.54, , ,HT
COOP:213202,GOLDEN VALLEY MN US,281,44.98333,-93.38333,19710517 05:15,-9999, , , ,25399.75,[, ,HT
COOP:213202,GOLDEN VALLEY MN US,281,44.98333,-93.38333,19710601 00:15,-9999, , , ,25399.75,[, ,HT
COOP:213202,GOLDEN VALLEY MN US,281,44.98333,-93.38333,19710601 09:15,-9999, , , ,25399.75,a, ,HT
COOP:213202,GOLDEN VALLEY MN US,281,44.98333,-93.38333,19710601 10:00,-9999, , , ,2.54,A, ,HT
COOP:213202,GOLDEN VALLEY MN US,281,44.98333,-93.38333,19710601 19:30,-9999, , , ,2.54, , ,HT
COOP:213202,GOLDEN VALLEY MN US,281,44.98333,-93.38333,19710603 09:00,-9999, , , ,5.08, , ,HT
COOP:213202,GOLDEN VALLEY MN US,281,44.98333,-93.38333,19710605 00:15,-9999, , , ,2.54, , ,HT
COOP:213202,GOLDEN VALLEY MN US,281,44.98333,-93.38333,19710606 23:00,-9999, , , ,2.54, , ,HT
COOP:213202,GOLDEN VALLEY MN US,281,44.98333,-93.38333,19710607 01:45,-9999, , , ,2.54, , ,HT
COOP:213202,GOLDEN VALLEY MN US,281,44.98333,-93.38333,19710607 02:15,-9999, , , ,5.08, , ,HT
COOP:213202,GOLDEN VALLEY MN US,281,44.98333,-93.38333,19710607 02:30,-9999, , , ,2.54, , ,HT
COOP:213202,GOLDEN VALLEY MN US,281,44.98333,-93.38333,19710607 02:45,-9999, , , ,5.08, , ,HT
COOP:213202,GOLDEN VALLEY MN US,281,44.98333,-93.38333,19710607 03:15,-9999, , , ,2.54, , ,HT
COOP:213202,GOLDEN VALLEY MN US,281,44.98333,-93.38333,19710607 03:45,-9999, , , ,2.54, , ,HT
COOP:213202,GOLDEN VALLEY MN US,281,44.98333,-93.38333,19710607 06:15,-9999, , , ,2.54, , ,HT
