STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:406806,OLD HICKORY WEATHER FORECAST OFFICE TN US,179.8,36.24694,-86.56306,20001201 00:15,25399.75,[, ,HT,0,g, ,HT
COOP:406806,OLD HICKORY WEATHER FORECAST OFFICE TN US,179.8,36.24694,-86.56306,20001201 01:15,-9999, , , ,25399.75,[, ,HT
COOP:406806,OLD HICKORY WEATHER FORECAST OFFICE TN US,179.8,36.24694,-86.56306,20001205 10:00,-9999, , , ,25399.75,], ,HT
COOP:406806,OLD HICKORY WEATHER FORECAST OFFICE TN US,179.8,36.24694,-86.56306,20001205 10:15,25399.75,], ,HT,-9999, , , 
COOP:406806,OLD HICKORY WEATHER FORECAST OFFICE TN US,179.8,36.24694,-86.56306,20001205 10:30,11.43, , ,HT,-9999, , , 
COOP:406806,OLD HICKORY WEATHER FORECAST OFFICE TN US,179.8,36.24694,-86.56306,20001205 10:45,11.43, , ,HT,-9999, , , 
COOP:406806,OLD HICKORY WEATHER FORECAST OFFICE TN US,179.8,36.24694,-86.56306,20001205 12:15,11.68, , ,HT,2.54, , ,HT
COOP:406806,OLD HICKORY WEATHER FORECAST OFFICE TN US,179.8,36.24694,-86.56306,20001211 19:15,11.94, , ,HT,2.54, , ,HT
COOP:406806,OLD HICKORY WEATHER FORECAST OFFICE TN US,179.8,36.24694,-86.56306,20001213 15:15,12.19, , ,HT,2.54, , ,HT
COOP:406806,OLD HICKORY WEATHER FORECAST OFFICE TN US,179.8,36.24694,-86.56306,20001213 16:00,12.45, , ,HT,2.54, , ,HT
COOP:406806,OLD HICKORY WEATHER FORECAST OFFICE TN US,179.8,36.24694,-86.56306,20001213 16:15,12.7, , ,HT,2.54, , ,HT
COOP:406806,OLD HICKORY WEATHER FORECAST OFFICE TN US,179.8,36.24694,-86.56306,20001213 16:45,12.95, , ,HT,2.54, , ,HT
