STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831101 00:15,-9999, , , ,25399.75,[, ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831201 00:15,-9999, , , ,25399.75,[, ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831201 16:15,-9999, , , ,25399.75,], ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831203 04:30,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831203 05:15,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831203 05:30,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831203 06:00,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831203 06:15,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831203 07:15,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831203 09:30,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831203 09:45,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831203 10:30,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831203 10:45,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831208 07:30,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831208 17:45,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831209 03:00,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831209 03:45,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831209 05:30,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831209 09:00,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831209 11:15,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831209 12:30,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831209 13:30,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831209 14:30,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831209 16:30,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831210 07:15,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831210 13:00,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831210 20:45,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831211 07:30,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831211 08:00,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831211 09:00,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831211 10:15,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831211 10:30,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831213 21:30,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831222 07:45,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831222 13:00,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831222 16:00,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831222 19:30,-9999, , , ,2.54, , ,HT
COOP:045371,MARTINEZ 2 S CA US,70.1,37.96667,-122.13333,19831222 23:15,-9999, , , ,2.54, , ,HT
