STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710504 13:15,-9999, , , ,25399.75,a, ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710504 14:00,-9999, , , ,2.54,A, ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710509 06:30,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710509 07:00,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710509 11:30,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710511 16:15,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710518 05:15,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710523 09:00,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710523 10:15,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710523 11:30,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710526 21:00,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710526 21:15,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710526 22:30,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710527 01:15,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710530 08:30,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710531 20:30,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710531 20:45,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710531 21:00,-9999, , , ,5.08, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710531 21:15,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710531 21:45,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710601 00:15,-9999, , , ,0,g, ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710602 22:00,-9999, , , ,15.24, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710602 22:15,-9999, , , ,15.24, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710602 22:30,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710602 22:45,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710603 02:15,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710603 02:30,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710603 02:45,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710603 03:00,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710607 21:15,-9999, , , ,5.08, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710607 21:30,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710607 21:45,-9999, , , ,7.62, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710607 22:00,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710608 07:15,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710608 08:15,-9999, , , ,5.08, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710608 08:30,-9999, , , ,2.54, , ,HT
COOP:344978,LAKE OVERHOLSER OK US,381,35.48333,-97.66667,19710608 22:15,-9999, , , ,2.54, , ,HT
