STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721101 01:15,-9999, , , ,0, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721101 02:00,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721101 03:30,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721101 05:45,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721101 14:15,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721101 17:30,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721101 19:30,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721106 12:00,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721106 12:45,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721106 14:00,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721106 14:45,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721106 15:00,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721106 15:15,-9999, , , ,5.08, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721106 15:30,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721106 16:15,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721106 17:00,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721106 19:30,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721109 14:00,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721109 16:15,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721109 17:15,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721109 17:45,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721109 18:15,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721109 19:00,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721109 21:00,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721110 15:30,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721113 04:00,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721113 05:45,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721113 07:00,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721113 11:00,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721113 21:45,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721126 11:00,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721201 00:15,-9999, , , ,0,g, ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721212 01:30,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721212 04:30,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721212 08:30,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721228 20:15,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721228 21:00,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721228 21:30,-9999, , , ,2.54, , ,HT
COOP:250777,BENNINGTON 3 E NE US,370.3,41.36667,-96.1,19721228 22:00,-9999, , , ,2.54, , ,HT
