STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840101 00:15,-9999, , , ,0,g, ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840103 18:15,-9999, , , ,25399.75,a, ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840103 19:00,-9999, , , ,7.62,A, ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 04:45,-9999, , , ,0.76, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 05:00,-9999, , , ,0.51, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 05:15,-9999, , , ,0.51, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 05:30,-9999, , , ,0.51, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 05:45,-9999, , , ,0.76, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 06:00,-9999, , , ,0.76, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 09:00,-9999, , , ,0.25, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 09:15,-9999, , , ,0.25, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 10:45,-9999, , , ,2.29, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 11:00,-9999, , , ,1.52, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 11:15,-9999, , , ,0.25, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 11:30,-9999, , , ,0.51, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 11:45,-9999, , , ,1.02, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 12:00,-9999, , , ,1.02, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 12:15,-9999, , , ,0.76, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 12:30,-9999, , , ,0.76, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 12:45,-9999, , , ,0.25, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 13:00,-9999, , , ,0.25, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 13:15,-9999, , , ,0.25, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 13:30,-9999, , , ,0.51, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 13:45,-9999, , , ,0.51, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 14:00,-9999, , , ,0.51, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 14:30,-9999, , , ,0.51, , ,HI
COOP:356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19840110 15:00,-9999, , , ,0.25, , ,HI
