STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19840101 00:15,-9999, , , ,25399.75,[, ,HI
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19840201 00:15,-9999, , , ,25399.75,[, ,HI
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19840301 00:15,-9999, , , ,25399.75,[, ,HI
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19840401 00:15,-9999, , , ,25399.75,[, ,HI
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19840501 00:15,-9999, , , ,25399.75,[, ,HI
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19840601 00:15,-9999, , , ,25399.75,[, ,HI
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19840701 00:15,-9999, , , ,25399.75,[, ,HI
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19840801 00:15,-9999, , , ,25399.75,[, ,HI
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19840901 00:15,-9999, , , ,25399.75,[, ,HI
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19841001 00:15,-9999, , , ,25399.75,[, ,HI
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19841101 00:15,-9999, , , ,25399.75,[, ,HI
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19841201 00:15,-9999, , , ,25399.75,[, ,HI
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19850101 00:15,-9999, , , ,25399.75,[, ,HI
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19850201 00:15,-9999, , , ,25399.75,[, ,HI
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19850301 00:15,-9999, , , ,25399.75,[, ,HI
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19850401 00:15,-9999, , , ,25399.75,[, ,HI
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19850501 00:15,-9999, , , ,25399.75,[, ,HI
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19850601 00:15,-9999, , , ,25399.75,[, ,HI
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19850701 00:15,-9999, , , ,25399.75,[, ,HI
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19850801 00:15,-9999, , , ,25399.75,[, ,HI
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19850901 00:15,-9999, , , ,25399.75,[, ,HI
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19920301 00:15,-9999, , , ,0,g, ,HT
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19920304 14:00,-9999, , , ,2.54, , ,HT
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19920306 15:30,-9999, , , ,2.54, , ,HT
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19920306 16:45,-9999, , , ,2.54, , ,HT
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19920306 17:00,-9999, , , ,2.54, , ,HT
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19920306 17:30,-9999, , , ,2.54, , ,HT
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19920306 18:15,-9999, , , ,2.54, , ,HT
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19920306 19:00,-9999, , , ,2.54, , ,HT
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19920306 19:45,-9999, , , ,2.54, , ,HT
COOP:317079,RALEIGH STATE UNIVERSITY NC US,121.9,35.78333,-78.7,19920306 20:15,-9999, , , ,2.54, , ,HT
