STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QPCP,Measurement Flag,Quality Flag,Units
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840101 00:15,0,g, ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840115 04:00,1.52, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840115 05:00,1.02, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840115 16:00,0.76, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840115 17:00,1.02, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840115 18:00,0.76, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840115 19:00,0.51, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840115 20:00,2.03, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840115 23:00,0.51, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840120 22:00,0.25, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840120 23:00,0.25, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840121 01:00,0.51, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840121 02:00,3.56, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840121 03:00,0.51, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840201 00:15,0,g, ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840208 00:15,25399.75,a, ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840211 12:15,25399.75,a, ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840211 13:00,0.25,A, ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840211 13:30,0.25, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840211 14:45,0.25, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840211 16:00,0.25, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840211 17:15,0.25, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840211 18:30,0.25, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840211 19:45,0.25, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840211 21:30,0.25, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840212 01:00,0.25, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840213 08:15,1.02, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840213 08:30,1.02, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840213 08:45,1.02, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840213 09:00,1.02, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840213 09:15,1.02, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840213 09:30,1.02, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840213 09:45,1.02, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840213 10:00,1.02, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840213 10:15,0.51, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840213 10:30,0.51, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840213 10:45,0.51, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840213 11:00,0.51, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840213 11:15,0.51, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840213 11:30,0.51, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840213 11:45,0.51, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840213 13:15,0.76, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840213 13:30,0.76, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840213 13:45,0.76, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840213 14:00,0.76, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840213 14:15,0.76, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840213 14:30,0.76, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840215 08:45,1.27, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840215 09:00,1.27, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840215 09:15,1.27, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840215 09:30,1.27, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840215 09:45,1.27, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840215 10:00,1.27, , ,HI
COOP:047767,SAN FRANCISCO OCEANSIDE CA US,9.8,37.76667,-122.5,19840215 10:15,1.27, , ,HI
