STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831201 00:15,-9999, , , ,25399.75,[, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831206 09:15,-9999, , , ,25399.75,], ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831208 10:15,-9999, , , ,25399.75,a, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831208 11:00,-9999, , , ,2.54,A, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831209 05:15,-9999, , , ,25399.75,a, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831209 06:00,-9999, , , ,2.54,A, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831209 06:15,-9999, , , ,25399.75,a, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831209 07:00,-9999, , , ,2.54,A, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831209 07:15,-9999, , , ,25399.75,a, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831209 08:00,-9999, , , ,2.54,A, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831209 09:15,-9999, , , ,25399.75,a, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831209 10:00,-9999, , , ,2.54,A, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831209 10:15,-9999, , , ,25399.75,a, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831209 11:00,-9999, , , ,2.54,A, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831210 05:15,-9999, , , ,25399.75,a, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831210 06:00,-9999, , , ,2.54,A, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831211 07:15,-9999, , , ,25399.75,a, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831211 08:00,-9999, , , ,5.08,A, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831211 08:15,-9999, , , ,25399.75,a, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831211 09:00,-9999, , , ,2.54,A, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831212 05:15,-9999, , , ,25399.75,a, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831212 06:00,-9999, , , ,2.54,A, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831217 04:15,-9999, , , ,25399.75,a, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831217 05:00,-9999, , , ,2.54,A, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831222 04:15,-9999, , , ,25399.75,a, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831222 05:00,-9999, , , ,2.54,A, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831222 07:15,-9999, , , ,25399.75,a, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831222 08:00,-9999, , , ,2.54,A, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831222 12:15,-9999, , , ,25399.75,a, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831222 13:00,-9999, , , ,2.54,A, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831222 16:15,-9999, , , ,25399.75,a, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831222 17:00,-9999, , , ,2.54,A, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831222 19:15,-9999, , , ,25399.75,a, ,HT
COOP:047821,SAN JOSE CA US,20.4,37.36667,-121.9,19831222 20:00,-9999, , , ,2.54,A, ,HT
