STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780307 05:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780307 06:00,-9999, , , ,2.54,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780311 16:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780311 17:00,-9999, , , ,5.08,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780311 17:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780311 18:00,-9999, , , ,2.54,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780311 19:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780311 20:00,-9999, , , ,2.54,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780323 09:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780323 10:00,-9999, , , ,5.08,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780323 10:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780323 11:00,-9999, , , ,2.54,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780324 01:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780324 02:00,-9999, , , ,2.54,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780324 15:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780324 16:00,-9999, , , ,2.54,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780324 17:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780324 18:00,-9999, , , ,2.54,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780324 22:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780324 23:00,-9999, , , ,2.54,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780325 07:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780325 08:00,-9999, , , ,2.54,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780325 11:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780325 12:00,-9999, , , ,2.54,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780325 13:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780325 14:00,-9999, , , ,2.54,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780326 00:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780326 01:00,-9999, , , ,2.54,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780328 02:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780328 03:00,-9999, , , ,2.54,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780328 06:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780328 07:00,-9999, , , ,2.54,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780328 09:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780328 10:00,-9999, , , ,2.54,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780330 05:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780330 06:00,-9999, , , ,2.54,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780330 07:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780330 08:00,-9999, , , ,2.54,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780330 15:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780330 16:00,-9999, , , ,2.54,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780401 00:15,-9999, , , ,0,g, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780402 09:00,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780402 19:15,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780404 03:00,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780404 05:30,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780404 07:45,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780404 08:45,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780404 09:45,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780404 11:30,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780404 15:00,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780404 17:30,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780405 01:30,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780405 14:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780405 15:00,-9999, , , ,2.54,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780410 21:00,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780413 12:45,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780414 13:15,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780414 16:30,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780415 18:00,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780415 20:30,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780415 21:00,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780415 22:45,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780415 23:30,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780416 00:45,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780416 01:45,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780416 02:30,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780416 03:15,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780416 04:15,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780416 05:45,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780416 07:00,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780416 08:00,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780416 08:45,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780416 09:30,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780416 10:30,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780416 11:45,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780416 13:00,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780417 16:15,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780417 23:15,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780418 04:30,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780418 06:45,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780418 22:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780418 23:00,-9999, , , ,2.54,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780419 00:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780419 01:00,-9999, , , ,2.54,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780419 01:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780419 02:00,-9999, , , ,5.08,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780419 18:30,-9999, , , ,5.08, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780419 18:45,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780419 19:30,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780419 20:15,-9999, , , ,25399.75,a, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780419 21:00,-9999, , , ,5.08,A, ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780421 11:00,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780421 14:00,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780421 15:00,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780421 17:45,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780422 05:15,-9999, , , ,2.54, , ,HT
COOP:454486,LANDSBURG WA US,164.9,47.38333,-122.96667,19780422 07:15,-9999, , , ,25399.75,a, ,HT
