STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:344812,KEYSTONE DAM OK US,214.9,36.15,-96.25,19840101 00:15,-9999, , , ,25399.75,{, ,HI
COOP:344812,KEYSTONE DAM OK US,214.9,36.15,-96.25,19840103 08:00,-9999, , , ,25399.75,}, ,HI
COOP:344812,KEYSTONE DAM OK US,214.9,36.15,-96.25,19840103 09:15,-9999, , , ,25399.75,{, ,HI
COOP:344812,KEYSTONE DAM OK US,214.9,36.15,-96.25,19840109 08:00,-9999, , , ,25399.75,}, ,HI
COOP:344812,KEYSTONE DAM OK US,214.9,36.15,-96.25,19840109 12:15,-9999, , , ,0.76, , ,HI
COOP:344812,KEYSTONE DAM OK US,214.9,36.15,-96.25,19840109 12:30,-9999, , , ,2.03, , ,HI
COOP:344812,KEYSTONE DAM OK US,214.9,36.15,-96.25,19840109 12:45,-9999, , , ,0.51, , ,HI
COOP:344812,KEYSTONE DAM OK US,214.9,36.15,-96.25,19840109 13:00,-9999, , , ,0.25, , ,HI
COOP:344812,KEYSTONE DAM OK US,214.9,36.15,-96.25,19840109 13:15,-9999, , , ,0.25, , ,HI
COOP:344812,KEYSTONE DAM OK US,214.9,36.15,-96.25,19840109 13:30,-9999, , , ,0.25, , ,HI
COOP:344812,KEYSTONE DAM OK US,214.9,36.15,-96.25,19840109 13:45,-9999, , , ,0.25, , ,HI
COOP:344812,KEYSTONE DAM OK US,214.9,36.15,-96.25,19840109 14:00,-9999, , , ,0.25, , ,HI
COOP:344812,KEYSTONE DAM OK US,214.9,36.15,-96.25,19840109 14:15,-9999, , , ,0.25, , ,HI
COOP:344812,KEYSTONE DAM OK US,214.9,36.15,-96.25,19840109 14:30,-9999, , , ,0.25, , ,HI
COOP:344812,KEYSTONE DAM OK US,214.9,36.15,-96.25,19840109 14:45,-9999, , , ,0.25, , ,HI
COOP:344812,KEYSTONE DAM OK US,214.9,36.15,-96.25,19840117 14:00,-9999, , , ,0.25, , ,HI
COOP:344812,KEYSTONE DAM OK US,214.9,36.15,-96.25,19840117 14:15,-9999, , , ,0.25, , ,HI
COOP:344812,KEYSTONE DAM OK US,214.9,36.15,-96.25,19840117 14:30,-9999, , , ,0.25, , ,HI
COOP:344812,KEYSTONE DAM OK US,214.9,36.15,-96.25,19840117 14:45,-9999, , , ,0.25, , ,HI
COOP:344812,KEYSTONE DAM OK US,214.9,36.15,-96.25,19840117 15:00,-9999, , , ,0.25, , ,HI
COOP:344812,KEYSTONE DAM OK US,214.9,36.15,-96.25,19840117 15:15,-9999, , , ,0.25, , ,HI
COOP:344812,KEYSTONE DAM OK US,214.9,36.15,-96.25,19840117 15:30,-9999, , , ,0.25, , ,HI
