pr_sum,duration
37.5625,1200.0
0.125,360.0
21.5,660.0
4.5,420.0
13.75,780.0
0.6875,480.0
6.5625,540.0
42.0625,1860.0
1.125,480.0
5.8125,900.0
6.9375,600.0
0.125,360.0
53.4375,1500.0
0.125,360.0
65.0625,3180.0
4.1875,780.0
1.375,600.0
0.3125,360.0
19.9375,900.0
12.625,960.0
0.125,360.0
5.4375,1080.0
0.5625,540.0
1.5,720.0
0.125,360.0
1.6875,960.0
0.4375,420.0
17.0625,900.0
23.4375,2100.0
6.25,660.0
3.375,840.0
17.625,660.0
4.1875,840.0
18.5625,1500.0
13.625,1740.0
2.125,900.0
5.625,1200.0
6.8125,1020.0
16.375,1320.0
0.375,480.0
5.4375,660.0
6.5,480.0
1.0625,600.0
4.0,600.0
1.625,720.0
10.5625,1080.0
5.9375,1260.0
5.25,540.0
2.6875,540.0
0.125,360.0
0.125,360.0
0.3125,360.0
37.8125,1680.0
8.5,1500.0
41.375,1380.0
2.3125,780.0
34.625,1140.0
0.125,360.0
0.125,360.0
22.1875,1440.0
0.125,360.0
9.0625,1740.0
0.125,360.0
18.0,900.0
0.3125,420.0
28.125,1140.0
0.8125,420.0
0.125,360.0
1.75,1140.0
11.5,840.0
0.6875,480.0
0.1875,360.0
0.125,360.0
4.1875,540.0
8.3125,1080.0
15.8125,480.0
11.8125,660.0
18.3125,1920.0
0.3125,420.0
3.5,1080.0
8.5,1560.0
0.875,360.0
2.0625,600.0
0.125,360.0
12.6875,900.0
0.1875,360.0
2.4375,840.0
13.1875,780.0
3.1875,540.0
1.3125,420.0
0.375,360.0
0.9375,480.0
2.5,360.0
1.8125,600.0
6.0625,1320.0
13.1875,420.0
16.125,840.0
2.1875,420.0
2.4375,960.0
6.75,1260.0
0.625,360.0
40.625,960.0
3.125,360.0
23.625,480.0
4.125,480.0
3.25,780.0
6.8125,780.0
13.125,480.0
10.1875,720.0
1.5,480.0
0.4375,420.0
10.875,720.0
0.125,360.0
2.8125,420.0
0.3125,360.0
0.375,360.0
4.25,420.0
0.125,360.0
3.1875,360.0
26.3125,420.0
0.25,600.0
38.8125,780.0
0.1875,360.0
8.1875,540.0
12.3125,1920.0
0.3125,360.0
9.6875,600.0
0.125,360.0
3.1875,420.0
0.125,360.0
35.5625,420.0
0.25,420.0
0.4375,900.0
31.0,780.0
8.9375,420.0
0.125,360.0
19.5625,1260.0
2.375,420.0
2.5625,540.0
1.75,660.0
7.6875,660.0
2.5625,600.0
0.25,480.0
2.8125,420.0
4.625,480.0
6.25,1260.0
36.0625,1800.0
1.125,1200.0
0.75,660.0
0.1875,360.0
0.5,420.0
5.0625,1740.0
41.9375,1260.0
19.5625,1260.0
11.75,1860.0
2.4375,480.0
2.875,480.0
4.3125,1140.0
0.25,420.0
15.875,2460.0
0.125,360.0
4.25,960.0
4.5625,600.0
2.125,900.0
0.25,420.0
6.25,900.0
3.4375,780.0
0.8125,480.0
3.25,840.0
