pr_sum,Unnamed: 0,duration
7.0625,900.0,900.0
0.125,360.0,360.0
6.5625,480.0,480.0
1.875,720.0,720.0
0.125,360.0,360.0
0.25,420.0,420.0
16.75,480.0,480.0
0.5,480.0,480.0
1.375,960.0,960.0
0.875,360.0,360.0
0.5,480.0,480.0
12.1875,1200.0,1200.0
1.75,480.0,480.0
0.125,360.0,360.0
0.25,480.0,480.0
0.25,420.0,420.0
0.125,360.0,360.0
1.0625,780.0,780.0
3.125,720.0,720.0
15.4375,1860.0,1860.0
28.8125,840.0,840.0
4.3125,720.0,720.0
24.0625,1320.0,1320.0
0.125,360.0,360.0
0.125,360.0,360.0
6.6875,1200.0,1200.0
0.625,480.0,480.0
1.5,360.0,360.0
1.625,480.0,480.0
0.8125,480.0,480.0
0.125,360.0,360.0
1.3125,360.0,360.0
5.875,600.0,600.0
64.9375,1080.0,1080.0
11.5,480.0,480.0
15.9375,720.0,720.0
0.5,420.0,420.0
2.5,420.0,420.0
0.125,360.0,360.0
6.75,420.0,420.0
3.125,360.0,360.0
10.5,360.0,360.0
0.375,600.0,600.0
4.625,420.0,420.0
4.5,600.0,600.0
9.875,420.0,420.0
3.1875,420.0,420.0
1.125,360.0,360.0
0.6875,540.0,540.0
0.875,420.0,420.0
25.875,540.0,540.0
45.0,1980.0,1980.0
1.0625,420.0,420.0
0.125,360.0,360.0
3.3125,540.0,540.0
3.75,840.0,840.0
4.4375,480.0,480.0
0.8125,540.0,540.0
28.5,540.0,540.0
0.875,360.0,360.0
5.4375,780.0,780.0
0.125,360.0,360.0
0.125,360.0,360.0
0.125,360.0,360.0
0.25,420.0,420.0
18.25,600.0,600.0
0.875,360.0,360.0
0.1875,360.0,360.0
0.3125,360.0,360.0
7.5625,660.0,660.0
2.6875,900.0,900.0
0.5,360.0,360.0
5.0625,780.0,780.0
1.125,480.0,480.0
46.5,900.0,900.0
1.5625,660.0,660.0
3.25,1200.0,1200.0
3.0625,540.0,540.0
0.125,360.0,360.0
14.4375,720.0,720.0
0.5625,480.0,480.0
0.125,360.0,360.0
1.5,480.0,480.0
0.3125,420.0,420.0
2.5,540.0,540.0
0.25,420.0,420.0
1.9375,600.0,600.0
1.0,840.0,840.0
0.125,360.0,360.0
0.25,480.0,480.0
19.9375,1260.0,1260.0
11.8125,960.0,960.0
0.125,360.0,360.0
13.625,1020.0,1020.0
14.125,840.0,840.0
14.8125,1080.0,1080.0
1.75,840.0,840.0
2.3125,840.0,840.0
20.625,1200.0,1200.0
3.125,540.0,540.0
0.5625,420.0,420.0
1.4375,480.0,480.0
0.875,660.0,660.0
0.25,420.0,420.0
1.625,1440.0,1440.0
2.5625,480.0,480.0
11.5625,840.0,840.0
14.875,840.0,840.0
0.375,480.0,480.0
5.0,660.0,660.0
0.25,420.0,420.0
18.9375,780.0,780.0
