pr_sum,duration
0.0,355.0
3.0,560.0
24.95,1365.0
0.75,405.0
6.79,1280.0
0.25,360.0
2.5,540.0
0.75,725.0
1.75,750.0
0.75,395.0
0.75,390.0
4.5,565.0
2.75,765.0
0.75,665.0
0.25,360.0
0.25,360.0
0.5,400.0
23.1,560.0
15.97,525.0
17.990000000000002,715.0
17.71,915.0
1.75,405.0
2.01,400.0
0.75,435.0
0.51,360.0
12.120000000000001,920.0
0.25,360.0
2.52,425.0
7.02,760.0
0.25,360.0
0.5,405.0
10.14,455.0
48.68,1655.0
0.5,440.0
0.25,360.0
0.25,360.0
3.01,695.0
0.25,360.0
4.54,445.0
7.57,1065.0
9.29,915.0
2.01,800.0
8.1,565.0
0.25,360.0
4.04,690.0
1.0,690.0
0.25,360.0
7.11,575.0
0.5,385.0
0.25,360.0
13.39,775.0
2.0,835.0
16.13,1160.0
10.16,400.0
0.25,360.0
6.08,415.0
0.5,365.0
1.5,1550.0
0.5,665.0
0.25,360.0
0.25,360.0
0.25,360.0
0.25,360.0
0.25,360.0
4.55,920.0
20.8,710.0
4.07,380.0
2.53,370.0
6.35,420.0
11.16,585.0
20.01,835.0
7.32,510.0
1.5,740.0
12.86,835.0
0.25,360.0
0.25,360.0
3.55,775.0
26.16,510.0
0.51,360.0
12.43,755.0
2.75,450.0
1.02,360.0
13.15,815.0
0.5,365.0
24.34,845.0
0.75,390.0
0.25,360.0
0.76,370.0
1.5,745.0
1.26,635.0
1.01,445.0
2.25,435.0
2.25,515.0
0.25,360.0
0.75,475.0
0.25,360.0
3.25,770.0
3.54,575.0
0.25,360.0
237.61,4345.0
15.5,1540.0
8.33,885.0
8.75,985.0
0.25,360.0
0.5,385.0
31.47,620.0
1.75,675.0
8.35,880.0
0.25,360.0
0.5,395.0
4.0,1275.0
2.51,490.0
30.080000000000002,850.0
4.0,705.0
46.33,1425.0
